/content/tts-engine/gdrive/My Drive/wavs/001001.wav|be nAm xodAvand baxSande baxSAyeSgar
/content/tts-engine/gdrive/My Drive/wavs/039025.wav|kasAni ke qabl az AnhA budand niz AyAt mA rA takzib nomudand va azAb elAhi az jAyi ke fekr nemikardand be sarAqeSAn Amad
/content/tts-engine/gdrive/My Drive/wavs/039026.wav|pas xodAvand xAri rA dar zendegi in donyA be AnhA CeSAnid va azAb Axarat Sadidtar est agar midAnestand
/content/tts-engine/gdrive/My Drive/wavs/039027.wav|mA barAy mardom dar in qorAn az har no? mosAli zadim SAyad motezaker Savand
/content/tts-engine/gdrive/My Drive/wavs/039028.wav|qorAni est fasih va xAli az har gune kaji va nAdorosti SAyad AnAn parhizgAri piSe konand
/content/tts-engine/gdrive/My Drive/wavs/039029.wav|xodAvand mesAli zade est mordi rA ke mamluk SarikAni est ke darbAreye u peyvaste bA ham be moSAjere maSquland va mordi ke tanahA taslim yek nafar est AyA in do yeksAnand hamd maxsus xodAsat vali biStar AnAn nemidAnand
/content/tts-engine/gdrive/My Drive/wavs/039030.wav|to mimiri va AnhA niz xAhand mord
/content/tts-engine/gdrive/My Drive/wavs/039031.wav|sepas SomA ruz qiyAmat nazd parvardegArtAn moxAseme mikanid
/content/tts-engine/gdrive/My Drive/wavs/039032.wav|pas Ce kasi setamkArter est az An kasi ke bor xodA doruq bebandad va soxan rAst rA hengAmi ke be sorAq u Amade takzib konad AyA dar jahanam jAygAhi barAy kAfarAn nist
/content/tts-engine/gdrive/My Drive/wavs/039033.wav|amA kasi ke soxan rAst biyAvard va kasi ke An rA tasdiq konad AnAn parhizgArAnand
/content/tts-engine/gdrive/My Drive/wavs/039034.wav|AnCe bexAhand nazd parvardegArSAn barAy AnAn mojud est va in est jazAy nikukArAn
/content/tts-engine/gdrive/My Drive/wavs/039035.wav|tA xodAvand badtarin a?mAli rA ke anjAm dAdeand dar sAye imAn va sedAqat AnhA biyAmorzad va AnhA rA be behtarin a?mAli ke anjAm midAdand pAdAS dahad
/content/tts-engine/gdrive/My Drive/wavs/039036.wav|AyA xodAvand barAy nejAt va defA? az bandeAS kAfi nist amA AnhA to rA az qeyr u mitarsAnand va har kas rA xodAvand gomrAh konad hiC hedAyatkonandei nadArad
/content/tts-engine/gdrive/My Drive/wavs/039037.wav|va har kas rA xodA hedAyat konad hiC gomrAhkonandei naxAhad dASt AyA xodAvand tavAnA va dArAye mojAzAt nist
/content/tts-engine/gdrive/My Drive/wavs/039039.wav|begu ey qom man SomA har Ce dar tavAn dArid anjAm dahid man niz be vazife xod amal mikanam amA bezudi xAhid dAnest
/content/tts-engine/gdrive/My Drive/wavs/039040.wav|Ce kasi azAb xArkonandei dar donyA be sorAqeS miAyad va sepas azAbi jAvidAn dar Axarat bor u vAred migardad
/content/tts-engine/gdrive/My Drive/wavs/039041.wav|mA in ketAb AsemAni rA barAy mardom behaq bor to nAzel kardim har kas hedAyat rA pazirad be naf? xod ust va har kas gomrAhi rA bargozinad tanahA be ziyAn xod gomrAh migardad va to ma?mur ejbAr AnhA be hedAyat nisti
/content/tts-engine/gdrive/My Drive/wavs/039043.wav|AyA AnAn qeyr az xodA Safi?Ani gerefteand be AnAn begu AyA az AnhA SefA?at mitalabid har Cand mAlek Cizi nabASand va dark va So?uri barAy AnhA nabASad
/content/tts-engine/gdrive/My Drive/wavs/039044.wav|begu tamAm SefA?at az An xodAsat zirA hAkemiyat AsmAnhA va zamin az An ust va sepas hame SomA rA be suy u bAzmigardAnand
/content/tts-engine/gdrive/My Drive/wavs/039045.wav|hengAmi ke xodAvand be yegAnegi yAd miSavad delhAy kasAni ke be Axarat imAn nadArand moSma?ez va motanafer migardad amA hengAmi ke az ma?budhAy digar yAd miSavad AnAn xoShAl miSavand
/content/tts-engine/gdrive/My Drive/wavs/039046.wav|begu xodAvandA ey Afarinande AsmAnhA va zamin va AgAh az asrAr nahAn va ASkAr to dar miyAn bandegAnat dar AnCe extelAf dAStand dAvari xAhi kord
/content/tts-engine/gdrive/My Drive/wavs/039047.wav|agar setamkArAn tamAm AnCe rA ruy zamin est mAlek bASand va hamAnand An bor An Afzude Savad hAzerand hame rA fadA konand tA az azAb Sodid ruz qiyAmat rahAyi yAbandu az suy xodA barAy AnhA omuri zAher miSavad ke hargez gomAn nemikardand
/content/tts-engine/gdrive/My Drive/wavs/039048.wav|dar An ruz e?mAl badi rA ke anjAm dAdeand barAy AnhA ASkAr miSavad va AnCe rA estehzA mikardand bor AnhA vAqe? migardad
/content/tts-engine/gdrive/My Drive/wavs/039049.wav|hengAmi ke ensAn rA ziyAni rasad mA rA barAy hal moSkleS mixAnd sepas hengAmi ke az jAneb xod be u ne?mati dahim miguyad in ne?mat rA bexAtere kArdAni xodam be man dAdeand vali in vasile AzmAyeS AnhA est amA biStarSAn nemidAnand
/content/tts-engine/gdrive/My Drive/wavs/039050.wav|in soxan rA kasAni ke qabl az AnhA budand niz goftand vali AnCe rA be dast miAvardand barAy AnhA sudi nadASt
/content/tts-engine/gdrive/My Drive/wavs/039051.wav|sepas badihAy e?mAlSAn be AnhA rasid va zAlemAn in goruh ahl make niz bezudi gereftAr badihAy a?mAli ke anjAm dAdeand xAhand Sod va hargez nemitavAnand az CangAl azAb elAhi begorizand
/content/tts-engine/gdrive/My Drive/wavs/039052.wav|AyA AnhA nadAnestand ke xodAvand ruzi rA barAy har kas bexAhad gostarde yA tang misAzad dar in AyAt va neSAnehAyi est barAy goruhi ke imAn miAvarand
/content/tts-engine/gdrive/My Drive/wavs/039053.wav|begu ey bandegAn man ke bor xod esrAf va setam kardeid az rahmat xodAvand nomid naSavid ke xodA hame gonAhAn rA miAmorzad zirA u besyAr Amorzande va mehrbAn est
/content/tts-engine/gdrive/My Drive/wavs/039054.wav|va be dargAh parvardegArtAn bAzgardid va dar barAbar u taslim Savid piS az Anke azAb be sorAq SomA Ayad sepas az suy hiC kas yAri naSavid
/content/tts-engine/gdrive/My Drive/wavs/039055.wav|va az behtarin dasturhA?i ke az suy parvardegArtAn bor SomA nAzel Sode peyravi kanid piS az Anke azAb elAhi nAgahAn be sorAq SomA Ayad dar hAli ke az An xabar nadArid
/content/tts-engine/gdrive/My Drive/wavs/039056.wav|in dasturhA barAy An est ke mabAdA kasi ruz qiyAmat beguyad afsus bor man az kutAhihAyi ke dar etA?at farmAn xodA kardam va az masxorekonandegAn AyAt u budam
/content/tts-engine/gdrive/My Drive/wavs/039057.wav|yA beguyad agar xodAvand marA hedAyat mikard az parhizgArAn budam
/content/tts-engine/gdrive/My Drive/wavs/039058.wav|yA hengAmi ke azAb rA mibinad beguyad ey kAS bAr digar be donyA bAzmigaStam va az nikukArAn budam
/content/tts-engine/gdrive/My Drive/wavs/039059.wav|Ari AyAt man be sorAq to Amad amA An rA takzib kardi va takabor nomudi va az kAfarAn budi
/content/tts-engine/gdrive/My Drive/wavs/039060.wav|va ruz qiyAmat kasAni rA ke bor xodA doruq bastand mibini ke surathAyeSAn siyAh est AyA dar jahanam jAygAhi barAy motekaberAn nist
/content/tts-engine/gdrive/My Drive/wavs/039061.wav|va xodAvand kasAni rA ke taqvA piSe kardand bA rastgAri rahAyi mibaxSad hiC badi be AnAn nemirasad va hargez qamgin naxAhand Sod
/content/tts-engine/gdrive/My Drive/wavs/039062.wav|xodAvand AfaridegAr hame Ciz est va hAfez va nAzer bor hame aSiyA est
/content/tts-engine/gdrive/My Drive/wavs/039063.wav|kelidhAy AsmAnhA va zamin az An ust va kasAni ke be AyAt xodAvand kAfar Sodand ziyAnkArAnand
/content/tts-engine/gdrive/My Drive/wavs/039064.wav|begu AyA be man dastur midahid ke qeyr xodA rA beparastam ey jAhelAn
/content/tts-engine/gdrive/My Drive/wavs/039065.wav|be to va hame payAmbarAn piSin vahi Sode ke agar moSrek Savi tamAm e?mAlat tabAh miSavad va az ziyAnkArAn xAhi bud
/content/tts-engine/gdrive/My Drive/wavs/039066.wav|balke tanahA xodAvand rA ebAdat kan va az SokrgozArAn bAS
/content/tts-engine/gdrive/My Drive/wavs/039067.wav|AnhA xodA rA An gune ke Sayeste est naSenAxtand dar hAli ke tamAm zamin dar ruz qiyAmat dar qabze ust va AsmAnhA piCide dar dast u xodAvand monazah va bolandmaqAm est az SarikihAyi ke barAy u mipendArand
/content/tts-engine/gdrive/My Drive/wavs/039068.wav|va dar sovar damide miSavad pas hame kasAni ke dar AsmAnhA va zaminand mimirand magar kasAni ke xodA bexAhad sepas bAr digar dar sovar damide miSavad nAgahAn hamegi be pA mixizand va dar entezAr hesAb va jozA hastand
/content/tts-engine/gdrive/My Drive/wavs/039069.wav|va zamin dar An ruz be nur parvardegAreS roSan miSavad va nAmehAye e?mAl rA piS minehand va payAmbarAn va govAhAn rA hAzer misAzand va miyAn AnhA behaq dAvari miSavad va be AnAn setam naxAhad Sod
/content/tts-engine/gdrive/My Drive/wavs/039070.wav|va be har kas AnCe anjAm dAde est bikam va kAset dAde miSavad va u nesbat be AnCe anjAm midAdand az hame AgAhtar est
/content/tts-engine/gdrive/My Drive/wavs/039072.wav|be AnAn gofte miSavad az darhAye jahanam vAred Savid jAvdAne dar An bemAnid Ce bad jAygAhi est jAygAh motekaberAn
/content/tts-engine/gdrive/My Drive/wavs/039074.wav|AnhA miguyand hamd va setAyeS maxsus xodAvandi est ke be va?de xiS darbAreye mA vafA kord va zamin beheSt rA mirAs mA qarAr dAd ke har jA rA bexAhim manzelgAh xod qarAr dahim Ce nikust pAdAS amal konandegAn
/content/tts-engine/gdrive/My Drive/wavs/040001.wav|ham
/content/tts-engine/gdrive/My Drive/wavs/040002.wav|in ketAbi est ke az suy xodAvand qAder va dAnA nAzel Sode est
/content/tts-engine/gdrive/My Drive/wavs/040003.wav|xodAvandi ke Amorzande gonAh pazirande tobe dArAye mojAzAt saxt va sAheb ne?mat farAvAn est hiC ma?budi joz u nist va bAzgaSt hame SomA tanahA besuye ust
/content/tts-engine/gdrive/My Drive/wavs/040004.wav|tanahA kasAni ke dar AyAt mA mojAdele mikanand ke az ruy enAd kAfar Sodeand pas mabAdA roft va Amad AnAn dar SahrehA va qodratnamAyi AnAn to rA befaribad
/content/tts-engine/gdrive/My Drive/wavs/040006.wav|va in gune farmAn parvardegArt darbAreye kasAni ke kAfar Sodand mosalam Sode ke AnhA hame ahl AtaSand
/content/tts-engine/gdrive/My Drive/wavs/040008.wav|parvardegArA AnhA rA dar bAqhAye jAvidAn beheSt ke be AnhA va?de farmudei vAred kan hamCenin az pedarAn va hamsarAn va farzandAneSAn har kodAm ke sAleh budand ke to tavAnA va hakimi
/content/tts-engine/gdrive/My Drive/wavs/040009.wav|va AnAn rA az badihA negAh dAr va har kas rA ke dar An ruz az badihA negAh dAri maSmul rahmattat sAxtei va in est hamAn rastgAri azim
/content/tts-engine/gdrive/My Drive/wavs/040010.wav|kasAni rA ke kAfar Sodand ruz qiyAmat sadA mizanand ke edAvat va xaSam xodAvand nesbat be SomA az edAvat va xaSam xodtAn nesbat be xodtAn biStar est CarA ke besuye imAn da?vat miSodid vali enkAr mikardid
/content/tts-engine/gdrive/My Drive/wavs/040011.wav|AnhA miguyand parvardegArA mA rA do bAr mirAndi va do bAr zende kardi aknun be gonAhAn xod mo?tarefim AyA rAhi barAy xArej Sodan az duzax vojud dArad
/content/tts-engine/gdrive/My Drive/wavs/040012.wav|in bexAtere An est ke vaqti xodAvand be yegAnegi xAnde miSod enkAr mikardid va agar barAy u hamtAyi mipendAStand imAn miAvardid aknun dAvari maxsus xodAvand bolandmartabe va bozorg est va SomA rA motAbeqe adal xod keyfar midahad
/content/tts-engine/gdrive/My Drive/wavs/040013.wav|u kasi est ke AyAt xod rA be SomA neSAn midahad va az AsemAn barAy SomA ruzi bA arzeSi miferestad tanahA kasAni motezaker in haqAyeq miSavand ke besuye xodA bAz migardand
/content/tts-engine/gdrive/My Drive/wavs/040014.wav|tanahA xodA rA bexAnid va din xod rA barAy u xAles kanid harCand kAfarAn nAxoSnud bASand
/content/tts-engine/gdrive/My Drive/wavs/040015.wav|u darajAt bandegAn sAleh rA bAlA miborad u sAheb arS est ruh moqadas rA be farmAneS bor har kas az bandegAneS ke bexAhad elqA mikand tA mardom rA az ruz molAqAt ruz rastAxiz bim dahad
/content/tts-engine/gdrive/My Drive/wavs/040016.wav|ruzi ke hame AnAn ASkAr miSavand va Cizi az AnhA bor xodA penhAn naxAhad mAnd va gofte miSavad hokumat emruz barAy kist barAy xodAvand yektAy qahAr est
/content/tts-engine/gdrive/My Drive/wavs/040017.wav|emruz har kas dar barAbar kAri ke anjAm dAde est pAdAS dAde miSavad emruz hiC zolmi nist xodAvand sari? alhesAb est
/content/tts-engine/gdrive/My Drive/wavs/040018.wav|va AnhA rA az ruz nazdike betarsAn hengAmi ke az Sedat vahSat delhA be gologAh mirasad va tamAmi vojud AnhA mamlov az anduh migardad barAy setamkArAn dusti vojud nadArad va noh SefA?at kanandei ke SafA?ateS pazirofte Savad
/content/tts-engine/gdrive/My Drive/wavs/040019.wav|u CeSmhAyi rA ke be xiyAnat migardad va AnCe rA sinehA penhAn midArand midAnad
/content/tts-engine/gdrive/My Drive/wavs/040020.wav|xodAvand bohq dAvari mikand va ma?budhAyi rA ke qeyr az u mixAnand hiC gune dAvari nadArand xodAvand SenavA va binAst
/content/tts-engine/gdrive/My Drive/wavs/040022.wav|in barAy An bud ke payAmbarAnSAn peyvaste bA dalAyel roSan be sarAqeSAn miAmadand vali AnhA enkAr mikardand xodAvand ham AnAn rA gereft va keyfar dAd ke u qavi va mojAzAteS Sodid est
/content/tts-engine/gdrive/My Drive/wavs/040023.wav|mA musA rA bA AyAt xod va dalil roSan ferestAdim
/content/tts-engine/gdrive/My Drive/wavs/040024.wav|besuye far?un va hAmAn va qArun vali AnhA goftand u sAheri besyAr doruqgu est
/content/tts-engine/gdrive/My Drive/wavs/040025.wav|va hengAmi ke haq rA az suy mA barAy AnhA Avarad goftand pesarAn kasAni rA ke bA musA imAn Avardeand bekeSid va zenAnSAn rA barAy esArat va xedmat zende begozArid amA naqSe kAfarAn joz dar gomrAhi nist va naqS bor Ab miSavad
/content/tts-engine/gdrive/My Drive/wavs/040026.wav|va far?un goft begozArid musA rA bekeSam va u parvardegAreS rA bexAnad tA najAteS dahad zirA man mitarsam ke Ayin SomA rA degargun sAzad va yA dar in sarzamin fesAd bor pA konad
/content/tts-engine/gdrive/My Drive/wavs/040027.wav|musA goft man be parvardegAram va parvardegAr SomA panAh mibaram az har motekaberi ke be ruz hesAb imAn nemiAvard
/content/tts-engine/gdrive/My Drive/wavs/040030.wav|An mord bA_?imAn goft ey qom man man bor SomA az ruzi hamAnand ruz azAb aqvAm piSin bimonAkem
/content/tts-engine/gdrive/My Drive/wavs/040031.wav|va az Adati hamCon Adat qom nuh va Ad va somud va kasAni ke ba?d az AnAn budand az Serk va kafar va toqyAn mitarsam va xodAvand zolm va setami bor bandegAneS nemixAhad
/content/tts-engine/gdrive/My Drive/wavs/040032.wav|ey qom man man bor SomA az ruzi ke mardom yekdigar rA sadA mizanand va az ham yAri mitalaband va sedAyeSAn be jAyi nemirasad bimonAkem
/content/tts-engine/gdrive/My Drive/wavs/040033.wav|hamAn ruzi ke ruy migardAnid va farAr mikanid amA hiC panAhgAhi dar barAbar azAb xodAvand barAy SomA nist va har kas rA xodAvand bexAtere a?mAleS gomrAh sAzad hedAyatkonandei barAy u nist
/content/tts-engine/gdrive/My Drive/wavs/040035.wav|hamAnhA ke dar AyAt xodA bi?Anke dalili barAyeSAn Amade bASad be mojAdele barmixizand in kArSAn xaSam azimi nazd xodAvand va nazd AnAn ke imAn Avardeand be bAr miAvard in gune xodAvand bor del har motekaber jabAri mohr minehad
/content/tts-engine/gdrive/My Drive/wavs/040036.wav|far?un goft ey hAmAn barAy man bannAye mortafa?i besAz SAyad be vasA?eli dast yAbam
/content/tts-engine/gdrive/My Drive/wavs/040037.wav|vasA?el so?ud be AsmAnhA tA az xodAy musA AgAh Savam har Cand gomAn mikanam u doruqgu bASad inCenin e?mAl bad far?un dar nazareS ArAste jelve kord va az rAh haq bAz dASte Sod va tote?e far?un va hamfekrAn u joz be nAbudi nemiAnjAmad
/content/tts-engine/gdrive/My Drive/wavs/040038.wav|kasi ke az qom far?un imAn Avarde bud goft ey qom man az man peyravi kanid tA SomA rA be rAh dorost hedAyat konam
/content/tts-engine/gdrive/My Drive/wavs/040039.wav|ey qom man in zendegi donyA tanahA matA? zudgozari est va Axarat sorAy hamiSegi est
/content/tts-engine/gdrive/My Drive/wavs/040040.wav|har kas badi konad joz bemAnand An keyfar dAde nemiSavad vali har kas kAr Sayestei anjAm dahad xAh mord yA zan dar hAli ke mo?men bASad AnhA vAred beheSt miSavand va dar An ruzi bihesAbi be AnhA dAde xAhad Sod
/content/tts-engine/gdrive/My Drive/wavs/040041.wav|ey qom man CarA man SomA rA be suy nejAt da?vat mikanam amA SomA marA besuye AtaS ferA mixAnid
/content/tts-engine/gdrive/My Drive/wavs/040042.wav|marA da?vat mikanid ke be xodAvand yegAne kAfar Savam va hamtAyi ke be An elm nadAram barAy u qarAr daham dar hAli ke man SomA rA besuye xodAvand aziz qafAr da?vat mikanam
/content/tts-engine/gdrive/My Drive/wavs/040043.wav|qat?an
/content/tts-engine/gdrive/My Drive/wavs/040044.wav|va bezudi AnCe rA be SomA miguyam be xAter xAhid Avarad man kAr xod rA be xodA vAgozAram ke xodAvand nesbat be bandegAneS binAst
/content/tts-engine/gdrive/My Drive/wavs/040045.wav|xodAvand u rA az naqSehAy su?e AnhA negah dASt va azAb Sodid bor Al far?un vAred Sod
/content/tts-engine/gdrive/My Drive/wavs/040046.wav|azAb AnhA AtaS est ke har sobh va SAm bor An arze miSavand va ruzi ke qiyAmat barpA Savad mifarmAyad Al far?un rA dar saxtarin azAbhA vAred kanid
/content/tts-engine/gdrive/My Drive/wavs/040047.wav|be xAter biyAvar hengAmi rA ke dar AtaS duzax bA ham mohAje mikanand za?ifAn be mostakberAn miguyand mA peyrov SomA budim AyA SomA emruz sahmi az AtaS rA bejAy mA pazirA miSuyad
/content/tts-engine/gdrive/My Drive/wavs/040048.wav|mostakberAn miguyand mA hamegi dar An hastim zirA xodAvand dar miyAn bandegAneS ba?dolat hokm karde est
/content/tts-engine/gdrive/My Drive/wavs/040049.wav|va AnhA ke dar AtaSand be ma?murAn duzax miguyand az parvardegArtAn bexAhid yek ruz azAb rA az mA bardArad
/content/tts-engine/gdrive/My Drive/wavs/040050.wav|AnhA miguyand AyA payAmbarAn SomA dalAyel roSan barAyetAn nayAvardand miguyand Ari AnhA miguyand pas har Ce mixAhid xodA rA bexAnid vali do?Ay kAfarAn be jAyi nemirasad va joz dar zalAlat nist
/content/tts-engine/gdrive/My Drive/wavs/040051.wav|mA be yaqin payAmbarAn xod va kasAni rA ke imAn Avardeand dar zendegi donyA va dar Axarat ruzi ke govAhAn be pA mixizand yAri midahim
/content/tts-engine/gdrive/My Drive/wavs/040052.wav|ruzi ke azrxAhi zAlemAn sudi be hAleSAn nemibaxSad va la?nat xodA barAy AnhA va xAne va jAygAh bad niz barAy AnAn est
/content/tts-engine/gdrive/My Drive/wavs/040053.wav|va mA be musA hedAyat baxSidim va bani esrA?il rA vAresAn ketAb torAt qarAr dAdim
/content/tts-engine/gdrive/My Drive/wavs/040054.wav|ketAbi ke mAye hedAyat va tazakor barAy sAhebAn aql bud
/content/tts-engine/gdrive/My Drive/wavs/040055.wav|pas ey payAmbar sabr va SakibA?i piSe kan ke va?de xodA haq est va barAy gonAhat esteqfAr kan va har sobh va SAm tasbih va hamd parvardegArt rA bejA Avar
/content/tts-engine/gdrive/My Drive/wavs/040056.wav|kasAni ke dar AyAt xodAvand bedune dalili ke barAy AnhA Amade bASad setizejuyi mikanand dar sinehAyeSAn faqat takabor va qorur est va hargez be xAste xod naxAhand rasid pas be xodA panAh bor ke u SenavA va binAst
/content/tts-engine/gdrive/My Drive/wavs/040057.wav|AfarineS AsmAnhA va zamin az AfarineS ensAnhA mehmtar est vali biStar mardom nemidAnand
/content/tts-engine/gdrive/My Drive/wavs/040058.wav|hargez nAbinA va binA yeksAn nistand hamCenin kasAni ke imAn Avarde va e?mAl sAleh anjAm dAdeand bA badkArAn yeksAn naxAhand bud amA kamtar motezaker miSuyad
/content/tts-engine/gdrive/My Drive/wavs/040059.wav|ruz qiyAmat be yaqin Amadani est va Saki dar An nist vali aksar mardom imAn nemi Avarand
/content/tts-engine/gdrive/My Drive/wavs/040060.wav|parvardegAr SomA gofte est marA bexAnid tA do?Ay SomA rA bepaziram kasAni ke az ebAdat man takabor mivarzand be zudi bA zelat vAred duzax miSavand
/content/tts-engine/gdrive/My Drive/wavs/040061.wav|xodAvand kasi est ke Sab rA barAy SomA Afarid tA dar An biyAsAyid va ruz rA ruSanibaxS qarAr dAd xodAvand nesbat be mardom sAheb fazl va karam est vali biStar mardom SokrgozAri nemikanand
/content/tts-engine/gdrive/My Drive/wavs/040062.wav|in est xodAvand parvardegAr SomA ke Afarinande hame Ciz est hiC ma?budi joz u nist bA in hAl Cegune az rAh haq monharef miSuyad
/content/tts-engine/gdrive/My Drive/wavs/040063.wav|inCenin kasAni ke AyAt xodA rA enkAr mikardand az rAh rAst monharef miSavand
/content/tts-engine/gdrive/My Drive/wavs/040065.wav|zende vAqe?i ust ma?budi joz u nist pas u rA bexAnid dar hAli ke din xod rA barAy u xAles kardeid setAyeS maxsus xodAvandi est ke parvardegAr jahAniyAn est
/content/tts-engine/gdrive/My Drive/wavs/040066.wav|begu man nehi Sodeam az inke ma?budhAyi rA ke SomA qeyr az xodA mixAnid beparastam Con dalAyel roSan az jAneb parvardegAram barAy man Amade est va ma?muram ke tanahA dar barAbar parvardegAr AlamiyAn taslim bASam
/content/tts-engine/gdrive/My Drive/wavs/040068.wav|u kasi est ke zende mikand va mimirAnad va hengAmi ke kAri rA moqarrar konad tanahA be An miguyad mojud bAS biderang mojud miSavad
/content/tts-engine/gdrive/My Drive/wavs/040069.wav|AyA nadidi kasAni rA ke dar AyAt xodA mojAdele mikanand Cegune az rAh haq monharef mey Savand
/content/tts-engine/gdrive/My Drive/wavs/040070.wav|hamAn kasAni ke ketAb AsemAni va AnCe rasulAn xod rA bedAn ferestAdeim takzib kardand amA bezudi natije kAr xod rA midAnand
/content/tts-engine/gdrive/My Drive/wavs/040071.wav|dar An hengAm ke qol va zanjirhA bor gardan AnAn qarAr gerefte va AnhA rA mikeSand
/content/tts-engine/gdrive/My Drive/wavs/040072.wav|va dar Ab juSAn vAred mikanand sepas dar AtaS duzax Afruxte miSavand
/content/tts-engine/gdrive/My Drive/wavs/040073.wav|sepas be AnhA gofte miSavad kajAyand AnCe rA hamtAy xodA qarAr midAdid
/content/tts-engine/gdrive/My Drive/wavs/040074.wav|hamAn ma?budhAyi rA ke joz xodA parasteS mikardid AnhA miguyand hame az nazar mA penhAn va gom Sodand balke mA aslan
/content/tts-engine/gdrive/My Drive/wavs/040075.wav|in azAb bexAtere An est ke benAheq dar zamin SAdi mikardid va az ruy qorur va masti be xoShAli mipardAxtid
/content/tts-engine/gdrive/My Drive/wavs/040076.wav|az darhAye jahanam vAred Savid va jAvdAne dar An bemAnid va Ce bad est jAygAh motekaberAn
/content/tts-engine/gdrive/My Drive/wavs/040079.wav|xodAvand kasi est ke CAhAr_pAyAn rA barAy SomA Afarid tA ba?zi rA savAr Savid va az ba?zi taqziye kanid
/content/tts-engine/gdrive/My Drive/wavs/040080.wav|va barAy SomA dar AnhA manAfe? besyAri joz inhA est tA busile AnhA be maqsadi ke dar del dArid berasid va bor AnhA va bor keStihA savAr miSuyad
/content/tts-engine/gdrive/My Drive/wavs/040081.wav|u AyAtaS rA hamvAre be SomA neSAn midahad pas kodAm yek az AyAt u rA enkAr mikanid
/content/tts-engine/gdrive/My Drive/wavs/040083.wav|hengAmi ke rasulAneSAn dalAyel roSani barAy AnAn Avardand be dAneSi ke xod dAStand xoShAl budand va qeyr An rA hiC miSomordand vali AnCe rA az azAb be tamasxor migereftand AnAn rA farAgereft
/content/tts-engine/gdrive/My Drive/wavs/040084.wav|hengAmi ke azAb Sodid mA rA didand goftand ham aknun be xodAvand yegAne imAn Avardim va be ma?budhAyi ke hamtAy u miSomordim kAfar Sodim
/content/tts-engine/gdrive/My Drive/wavs/040085.wav|amA hengAmi ke azAb mA rA moSAhede kardand imAnSAn barAy AnhA sudi nadAStAyn sonat xodAvand est ke hamvAre dar miyAn bandegAneS ajrA Sode va AnjA kAfarAn ziyAnkAr Sodand
/content/tts-engine/gdrive/My Drive/wavs/041001.wav|ham
/content/tts-engine/gdrive/My Drive/wavs/041002.wav|in ketAbi est ke az suy xodAvand rahmAn va rahim nAzel Sode est
/content/tts-engine/gdrive/My Drive/wavs/041003.wav|ketAbi ke AyAtaS har matlabi rA dar jAy xod bAzgu karde dar hAli ke fasih va guyAst barAy jam?iyati ke AgAhand
/content/tts-engine/gdrive/My Drive/wavs/041004.wav|qorAni ke beSArat dahande va bim dahande est vali biStar AnAn ruy gardAn Sodand az in ro Cizi nemiSenavand
/content/tts-engine/gdrive/My Drive/wavs/041005.wav|AnhA goftand qalbahAy mA nesbat be AnCe mA rA be An da?vat mikoni dar puShAyi qarAr gerefte va dar guShAy mA sangini est va miyAn mA va to hejAbi vojud dArad pas to bedonbAle amal xod bAS mA ham barAy xod amal mikanim
/content/tts-engine/gdrive/My Drive/wavs/041006.wav|begu man faqat ensAni mesle SomA hastam in haqiqat bor man vahi miSavad ke ma?bud SomA ma?budi yegAne est pas tamAm toje xiS rA be u kanid va az vey AmorzeS talabid vAy bor moSrekAn
/content/tts-engine/gdrive/My Drive/wavs/041007.wav|hamAnhA ke zakAt rA nemipardAzand va Axarat rA monkerend
/content/tts-engine/gdrive/My Drive/wavs/041008.wav|amA kasAni ke imAn Avarde va kArhAy Sayeste anjAm dAdand pAdASi dA?emi dArand
/content/tts-engine/gdrive/My Drive/wavs/041009.wav|begu AyA SomA be An kas ke zamin rA dar do ruz Afarid kAfar hastid va barAy u hamAnandhAyi qarAremidahid u parvardegAr jahAniyAn est
/content/tts-engine/gdrive/My Drive/wavs/041010.wav|u dar zamin kuhhAy ostovAri qarAr dAd va barakAti dar An Afarid va mavAd qazAyi An rA moqadar farmud yanhA hame dar CAhAr ruz bud dorost be andAze nayAz taqAzA konandegAn
/content/tts-engine/gdrive/My Drive/wavs/041011.wav|sepas be AfarineS AsemAn pardAxt dar hAli ke besorate dud bud be An va be zamin dastur dAd be vojud Ayid va Sekl girid xAh az ruy etA?at va xAh ekrAh AnhA goftand mA az ruy tA?at miAyim va Sekl migirim
/content/tts-engine/gdrive/My Drive/wavs/041013.wav|agar AnhA ruygardAn Savand begu man SomA rA az sA?eqei hamAnand sA?eqe Ad va somud mitarsAnam
/content/tts-engine/gdrive/My Drive/wavs/041014.wav|dar An hengAm ke rasulAn az piS ro va poSt sar va az har su be sarAqeSAn Amadand va AnAn rA da?vat kardand ke joz xodA rA naparastid AnhA goftand agar parvardegAr mA mixAst fereStegAni nAzel mikard az in ro mA be AnCe SomA mab?us be An hastid kAfarim
/content/tts-engine/gdrive/My Drive/wavs/041015.wav|amA qom Ad benAheq dar zamin takabor varzidand va goftand Ce kasi az mA nirumandtar est AyA nemidAnestand xodAvandi ke AnAn rA Afaride az AnhA qavytar est va be xAter in pendAr peyvaste AyAt mA rA enkAr mikardand
/content/tts-engine/gdrive/My Drive/wavs/041016.wav|sar_?anjAm tondbAdi Sodid va hol?angiz va sard va saxt dar ruzhAyi Savam va porqobAr bor AnhA ferestAdim tA azAb xArkonande rA dar zendegi donyA be AnhA beCeSAnim va azAb Axarat az An ham xArkonandear est va az hiC taraf yAri nemiSavand
